Id,SalePrice
2210,140000
2211,140000
2212,135000
2213,135000
2214,140000
2215,140000
2216,135000
2217,110000
2218,140000
2219,135000
2220,135000
2221,275000
2222,275000
2223,155000
2224,181000
2225,135000
2226,140000
2227,140000
2228,173000
2229,190000
2230,135000
2231,190000
2232,190000
2233,140000
2234,250000
2235,140000
2236,240000
2237,250000
2238,140000
2239,135000
2240,140000
2241,155000
2242,140000
2243,140000
2244,140000
2245,140000
2246,135000
2247,140000
2248,135000
2249,135000
2250,135000
2251,135000
2252,155000
2253,140000
2254,190000
2255,190000
2256,155000
2257,189000
2258,190000
2259,190000
2260,140000
2261,140000
2262,190000
2263,190000
2264,240000
2265,135000
2266,190000
2267,190000
2268,240000
2269,135000
2270,155000
2271,155000
2272,155000
2273,155000
2274,140000
2275,190000
2276,140000
2277,140000
2278,140000
2279,135000
2280,135000
2281,181000
2282,190000
2283,140000
2284,135000
2285,140000
2286,140000
2287,260000
2288,250000
2289,240000
2290,290000
2291,230000
2292,140000
2293,174000
2294,240000
2295,240000
2296,181000
2297,230000
2298,240000
2299,240000
2300,230000
2301,140000
2302,145000
2303,190000
2304,185000
2305,140000
2306,140000
2307,230000
2308,140000
2309,190000
2310,174000
2311,140000
2312,135000
2313,174000
2314,190000
2315,174000
2316,174000
2317,173000
2318,178000
2319,140000
2320,140000
2321,140000
2322,140000
2323,140000
2324,190000
2325,181000
2326,175000
2327,181000
2328,140000
2329,190000
2330,189000
2331,240000
2332,250000
2333,190000
2334,174000
2335,185000
2336,230000
2337,140000
2338,140000
2339,250000
2340,190000
2341,181000
2342,140000
2343,174000
2344,140000
2345,140000
2346,140000
2347,140000
2348,140000
2349,110000
2350,190000
2351,181000
2352,240000
2353,250000
2354,140000
2355,140000
2356,135000
2357,190000
2358,140000
2359,140000
2360,110000
2361,140000
2362,250000
2363,135000
2364,140000
2365,190000
2366,185000
2367,190000
2368,140000
2369,181000
2370,155000
2371,173000
2372,155000
2373,155000
2374,190000
2375,190000
2376,155000
2377,190000
2378,155000
2379,140000
2380,135000
2381,155000
2382,190000
2383,185000
2384,155000
2385,140000
2386,140000
2387,140000
2388,140000
2389,140000
2390,190000
2391,140000
2392,135000
2393,140000
2394,145000
2395,155000
2396,140000
2397,155000
2398,140000
2399,140000
2400,135000
2401,135000
2402,140000
2403,145000
2404,140000
2405,155000
2406,140000
2407,135000
2408,135000
2409,140000
2410,140000
2411,140000
2412,140000
2413,140000
2414,135000
2415,135000
2416,140000
2417,135000
2418,135000
2419,135000
2420,140000
2421,140000
2422,135000
2423,135000
2424,135000
2425,135000
2426,135000
2427,135000
2428,135000
2429,135000
2430,135000
2431,140000
2432,140000
2433,140000
2434,140000
2435,140000
2436,140000
2437,110000
2438,140000
2439,140000
2440,140000
2441,140000
2442,115000
2443,140000
2444,140000
2445,135000
2446,135000
2447,140000
2448,140000
2449,135000
2450,140000
2451,140000
2452,155000
2453,140000
2454,140000
2455,140000
2456,140000
2457,140000
2458,140000
2459,110000
2460,140000
2461,135000
2462,135000
2463,140000
2464,140000
2465,135000
2466,135000
2467,140000
2468,135000
2469,140000
2470,140000
2471,140000
2472,140000
2473,140000
2474,115000
2475,135000
2476,110000
2477,140000
2478,140000
2479,135000
2480,135000
2481,135000
2482,135000
2483,135000
2484,135000
2485,135000
2486,140000
2487,140000
2488,135000
2489,140000
2490,140000
2491,135000
2492,250000
2493,140000
2494,140000
2495,140000
2496,185000
2497,140000
2498,135000
2499,140000
2500,140000
2501,135000
2502,135000
2503,135000
2504,135000
2505,140000
2506,250000
2507,200000
2508,250000
2509,190000
2510,174000
2511,140000
2512,185000
2513,190000
2514,140000
2515,145000
2516,140000
2517,135000
2518,145000
2519,190000
2520,215000
2521,140000
2522,140000
2523,135000
2524,140000
2525,140000
2526,135000
2527,110000
2528,140000
2529,135000
2530,140000
2531,140000
2532,140000
2533,174000
2534,174000
2535,230000
2536,190000
2537,190000
2538,178000
2539,140000
2540,140000
2541,174000
2542,145000
2543,140000
2544,135000
2545,135000
2546,140000
2547,140000
2548,135000
2549,140000
2550,190000
2551,140000
2552,140000
2553,135000
2554,135000
2555,135000
2556,140000
2557,135000
2558,139000
2559,135000
2560,135000
2561,135000
2562,135000
2563,135000
2564,135000
2565,140000
2566,140000
2567,135000
2568,190000
2569,190000
2570,140000
2571,145000
2572,140000
2573,190000
2574,190000
2575,140000
2576,135000
2577,140000
2578,110000
2579,140000
2580,135000
2581,140000
2582,135000
2583,140000
2584,175000
2585,140000
2586,190000
2587,190000
2588,135000
2589,140000
2590,190000
2591,140000
2592,200000
2593,190000
2594,135000
2595,190000
2596,140000
2597,230000
2598,190000
2599,192000
2600,140000
2601,140000
2602,140000
2603,140000
2604,135000
2605,140000
2606,140000
2607,190000
2608,140000
2609,160000
2610,140000
2611,140000
2612,155000
2613,110000
2614,140000
2615,140000
2616,140000
2617,175000
2618,190000
2619,190000
2620,140000
2621,190000
2622,178000
2623,215000
2624,190000
2625,135000
2626,140000
2627,190000
2628,320000
2629,190000
2630,215000
2631,190000
2632,240000
2633,140000
2634,190000
2635,140000
2636,140000
2637,140000
2638,250000
2639,140000
2640,140000
2641,135000
2642,140000
2643,140000
2644,140000
2645,140000
2646,140000
2647,140000
2648,140000
2649,140000
2650,140000
2651,140000
2652,190000
2653,180000
2654,181000
2655,190000
2656,215000
2657,190000
2658,190000
2659,230000
2660,190000
2661,190000
2662,190000
2663,240000
2664,181000
2665,140000
2666,181000
2667,140000
2668,135000
2669,145000
2670,290000
2671,178000
2672,140000
2673,140000
2674,140000
2675,140000
2676,178000
2677,140000
2678,181000
2679,140000
2680,185000
2681,290000
2682,230000
2683,290000
2684,250000
2685,190000
2686,250000
2687,190000
2688,145000
2689,140000
2690,240000
2691,178000
2692,155000
2693,190000
2694,135000
2695,140000
2696,185000
2697,200000
2698,140000
2699,140000
2700,140000
2701,140000
2702,135000
2703,140000
2704,135000
2705,135000
2706,140000
2707,130000
2708,135000
2709,135000
2710,135000
2711,190000
2712,290000
2713,140000
2714,140000
2715,140000
2716,140000
2717,160000
2718,230000
2719,155000
2720,140000
2721,140000
2722,140000
2723,140000
2724,135000
2725,140000
2726,135000
2727,140000
2728,155000
2729,140000
2730,135000
2731,140000
2732,140000
2733,140000
2734,174000
2735,140000
2736,135000
2737,135000
2738,135000
2739,140000
2740,135000
2741,140000
2742,155000
2743,140000
2744,140000
2745,140000
2746,140000
2747,140000
2748,140000
2749,140000
2750,140000
2751,140000
2752,135000
2753,135000
2754,135000
2755,135000
2756,135000
2757,135000
2758,135000
2759,140000
2760,135000
2761,140000
2762,140000
2763,140000
2764,140000
2765,190000
2766,135000
2767,135000
2768,145000
2769,140000
2770,135000
2771,135000
2772,135000
2773,115000
2774,140000
2775,135000
2776,140000
2777,140000
2778,140000
2779,135000
2780,140000
2781,115000
2782,140000
2783,115000
2784,140000
2785,135000
2786,140000
2787,140000
2788,115000
2789,115000
2790,115000
2791,140000
2792,135000
2793,140000
2794,135000
2795,135000
2796,135000
2797,135000
2798,135000
2799,140000
2800,115000
2801,140000
2802,135000
2803,140000
2804,140000
2805,135000
2806,140000
2807,140000
2808,135000
2809,135000
2810,140000
2811,140000
2812,140000
2813,135000
2814,145000
2815,115000
2816,140000
2817,140000
2818,135000
2819,140000
2820,140000
2821,135000
2822,155000
2823,135000
2824,190000
2825,155000
2826,135000
2827,135000
2828,190000
2829,140000
2830,181000
2831,185000
2832,140000
2833,140000
2834,190000
2835,250000
2836,185000
2837,140000
2838,135000
2839,190000
2840,190000
2841,140000
2842,190000
2843,140000
2844,135000
2845,135000
2846,140000
2847,215000
2848,140000
2849,185000
2850,190000
2851,240000
2852,190000
2853,140000
2854,140000
2855,140000
2856,190000
2857,174000
2858,140000
2859,140000
2860,135000
2861,140000
2862,180000
2863,140000
2864,250000
2865,140000
2866,130000
2867,135000
2868,135000
2869,135000
2870,135000
2871,135000
2872,135000
2873,135000
2874,135000
2875,135000
2876,135000
2877,135000
2878,135000
2879,135000
2880,135000
2881,135000
2882,135000
2883,135000
2884,135000
2885,140000
2886,155000
2887,140000
2888,140000
2889,115000
2890,115000
2891,140000
2892,135000
2893,135000
2894,135000
2895,275000
2896,140000
2897,190000
2898,135000
2899,181000
2900,140000
2901,190000
2902,140000
2903,190000
2904,140000
2905,135000
2906,140000
2907,140000
2908,140000
2909,135000
2910,140000
2911,140000
2912,155000
2913,140000
2914,135000
2915,115000
2916,140000
2917,140000
2918,145000
2919,140000
